t,x,flags
27833770,16776708,0
27834807,16776758,0
27835842,16777151,0
27836879,390,0
27837917,714,0
27838952,410,0
27839986,16777150,0
27841025,16776383,0
27842060,16776050,0
27843095,16775679,0
27844132,16775249,0
27845169,16774730,0
27846205,16774879,0
27847239,16775276,0
27848277,16775502,0
27849314,16776050,0
27850350,16776564,0
27851387,16776869,0
27852424,329,0
27853460,751,0
27854497,805,0
27855532,101,0
27856566,16777106,0
27857601,16776304,0
27858640,16776026,0
27859673,16775600,0
27860712,16775810,0
27861747,16775199,0
27862784,16774866,0
27863818,16775640,0
27864856,16776234,0
27865891,16776656,0
27866927,16777100,0
27867965,108,0
27869001,16777186,0
27870038,512,0
27871073,984,0
27872109,504,0
27873145,16777052,0
27874182,16776603,0
27875219,16775987,0
27876253,16775840,0
27877290,16775679,0
27878325,16775320,0
27879362,16774960,0
27880398,16775174,0
27881434,16775370,0
27882471,16776638,0
27883508,71,0
27884544,1,0
27885582,323,0
27886617,712,0
27887654,1045,0
27888690,319,0
27889725,16776937,0
27890761,16776452,0
27891798,16775962,0
27892833,16775980,0
27893871,16775829,0
27894906,16775459,0
27895942,16774566,0
27896979,16775463,0
27898014,16776232,0
27899051,16776002,0
27900086,16775333,0
27901123,16776977,0
27902160,159,0
27903196,401,0
27904233,1563,0
27905269,723,0
27906304,16776953,0
27907340,16776339,0
27908375,16776196,0
27909411,16775646,0
27910446,16775552,0
27911485,16775524,0
27912520,16775106,0
27913558,16775763,0
27914594,16775773,0
27915629,16776334,0
27916665,16777125,0
27917701,16777178,0
27918740,515,0
27919775,463,0
27920812,852,0
27921849,531,0
27922885,321,0
27923919,16776379,0
27924955,16776354,0
27925991,16776093,0
27927028,16775746,0
27928063,16775060,0
27929101,16774725,0
27930135,16775071,0
27931173,16776010,0
27932208,16776671,0
27933243,16777124,0
27934281,16777125,0
27935319,673,0
27936355,758,0
27937390,991,0
27938427,706,0
27939462,16776982,0
27940498,16775926,0
27941535,16775770,0
27942571,16775783,0
27943606,16775593,0
27944643,16775537,0
27945679,16774687,0
27946716,16774981,0
27947751,16775599,0
27948788,16776027,0
27949825,16776813,0
27950859,16777095,0
27951898,598,0
27952933,487,0
27953970,846,0
27955007,666,0
27956042,157,0
27957077,16776863,0
27958113,16776234,0
27959151,16775957,0
27960186,16775497,0
27961221,16775571,0
27962259,16774681,0
27963295,16774966,0
27964330,16775724,0
27965367,16776669,0
27966403,16777047,0
27967439,16776831,0
27968477,16777045,0
27969509,16777184,0
27970548,600,0
27971586,775,0
27972622,333,0
27973657,16776917,0
27974693,16776492,0
27975728,16776119,0
27976765,16775519,0
27977800,16775175,0
27978837,16774649,0
27979872,16774856,0
27980909,16775187,0
27981946,16775427,0
27982982,16776615,0
27984017,16776784,0
27985054,144,0
27986092,546,0
27987129,813,0
27988165,745,0
27989200,251,0
27990235,16776255,0
27991270,16775678,0
27992308,16775439,0
27993345,16775481,0
27994379,16775174,0
27995417,16774503,0
27996452,16774567,0
27997488,16775500,0
27998524,16776444,0
27999561,16776649,0
28000596,16777102,0
28001634,16776827,0
28002670,16776877,0
28003708,645,0
28004743,1042,0
28005779,199,0
28006814,16776764,0
28007850,16776145,0
28008888,16775725,0
28009921,16775360,0
28010959,16775273,0
28011996,16774633,0
28013032,16774334,0
28014068,16774682,0
28015103,16775351,0
28016141,16776709,0
28017176,16776794,0
28018212,16777147,0
28019248,16777146,0
28020284,16777186,0
28021321,92,0
28022358,16775849,0
28023392,16776644,0
28024430,16776397,0
28025465,16775944,0
28026503,16775491,0
28027537,16775330,0
28028575,16774701,0
28029612,16774407,0
28030646,16775383,0
28031683,16776217,0
28032717,16776688,0
28033755,16776448,0
28034791,16776934,0
28035828,16776927,0
28036865,318,0
28037901,391,0
28038937,229,0
28039973,16776540,0
28041009,16775837,0
28042044,16776071,0
28043082,16775027,0
28044118,16774899,0
28045154,16774837,0
28046190,16774603,0
28047225,16775267,0
28048260,16775184,0
28049296,16776072,0
28050334,16776669,0
28051371,145,0
28052407,16776709,0
28053441,16777200,0
28054479,508,0
28055515,16777149,0
28056553,16776573,0
28057587,16776447,0
28058624,16776001,0
28059660,16775772,0
28060696,16775146,0
28061732,16774960,0
28062768,16774590,0
28063804,16775398,0
28064840,16776079,0
28065877,16776422,0
28066913,16776302,0
28067950,16776530,0
28068986,16776514,0
28070021,16777110,0
28071060,589,0
28072094,16777078,0
28073130,16776673,0
28074167,16776345,0
28075203,16775996,0
28076240,16775491,0
28077275,16775559,0
28078310,16775100,0
28079349,16774469,0
28080385,16774939,0
28081419,16775089,0
28082457,16775847,0
28083493,16776874,0
28084529,16776899,0
28085565,16776831,0
28086602,16776893,0
28087638,652,0
28088674,376,0
28089709,16776840,0
28090746,16775972,0
28091783,16775837,0
28092819,16775689,0
28093854,16775345,0
28094891,16775026,0
28095927,16774281,0
28096964,16774463,0
28097998,16775566,0
28099035,16776504,0
28100070,16777094,0
28101108,161,0
28102144,47,0
28103179,248,0
28104218,681,0
28105254,347,0
28106289,16777039,0
28107325,16776426,0
28108362,16776023,0
28109397,16775526,0
28110433,16775121,0
28111470,16775463,0
28112505,16774644,0
28113543,16774925,0
28114577,16775158,0
28115615,16775953,0
28116651,16776787,0
28117686,16777114,0
28118722,16777165,0
28119759,494,0
28120796,994,0
28121832,495,0
28122867,16777159,0
28123903,16776580,0
28124939,16776000,0
28125976,16775273,0
28127014,16775457,0
28128048,16775327,0
28129083,16774384,0
28130121,16774637,0
28131157,16775613,0
28132192,16776332,0
28133229,16776282,0
28134266,16776729,0
28135302,16776982,0
28136338,16777034,0
28137375,528,0
28138411,146,0
28139444,16777088,0
28140482,16776082,0
28141520,16775759,0
28142556,16775461,0
28143591,16775113,0
28144627,16775293,0
28145665,16774954,0
28146700,16774630,0
28147737,16774909,0
28148773,16774778,0
28149808,16775137,0
28150845,16776910,0
28151881,16777057,0
28152916,0,0
28153955,753,0
28154990,398,0
28156027,162,0
28157061,16776748,0
28158098,16776230,0
28159133,16776116,0
28160172,16775461,0
28161206,16775214,0
28162243,16774810,0
28163278,16775255,0
28164315,16776221,0
